sample-id	host_subject_id	host_age	env_local_scale	env_medium	geo_loc_name	HOST	host_sex
SRR29856899	15	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856900	49	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856901	14	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856902	13	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856903	12	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856904	11	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856905	10	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856906	1	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856907	9	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856908	33	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856909	8	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856910	7	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856911	6	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856912	51	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856913	50	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856914	5	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856915	26	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856916	25	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856917	24	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856918	23	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856919	22	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856920	21	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856921	20	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856922	2	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856923	25	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856924	19	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856925	18	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856926	17	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856927	16	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856928	15	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856929	14	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856930	13	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856931	12	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856932	11	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856933	10	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856934	24	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856935	1	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856936	9	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856937	8	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856938	7	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856939	6	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856940	51	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856941	50	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856942	5	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856943	3	T9	Cattle	Content of rumen	South Korea	Bos taurus coreanae	male
SRR29856944	51	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856945	3	T9	Cattle	Content of large intestine	South Korea	Bos taurus coreanae	male
SRR29856946	2	T9	Cattle	Content of rumen	South Korea	Bos taurus coreanae	male
SRR29856947	2	T9	Cattle	Content of large intestine	South Korea	Bos taurus coreanae	male
SRR29856948	27	T9	Cattle	Content of small intestine	South Korea	Bos taurus coreanae	female
SRR29856949	27	T9	Cattle	Content of rumen	South Korea	Bos taurus coreanae	female
SRR29856950	23	T9	Cattle	Content of small intestine	South Korea	Bos taurus coreanae	female
SRR29856951	23	T9	Cattle	Content of rumen	South Korea	Bos taurus coreanae	female
SRR29856952	23	T9	Cattle	Content of large intestine	South Korea	Bos taurus coreanae	female
SRR29856953	50	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856954	21	T9	Cattle	Content of small intestine	South Korea	Bos taurus coreanae	female
SRR29856955	21	T9	Cattle	Content of rumen	South Korea	Bos taurus coreanae	female
SRR29856956	21	T9	Cattle	Content of large intestine	South Korea	Bos taurus coreanae	female
SRR29856957	1	T9	Cattle	Content of small intestine	South Korea	Bos taurus coreanae	male
SRR29856958	1	T9	Cattle	Content of rumen	South Korea	Bos taurus coreanae	male
SRR29856959	1	T9	Cattle	Content of large intestine	South Korea	Bos taurus coreanae	male
SRR29856960	17	T9	Cattle	Content of small intestine	South Korea	Bos taurus coreanae	female
SRR29856961	17	T9	Cattle	Content of rumen	South Korea	Bos taurus coreanae	female
SRR29856962	17	T9	Cattle	Content of large intestine	South Korea	Bos taurus coreanae	female
SRR29856963	16	T9	Cattle	Content of small intestine	South Korea	Bos taurus coreanae	male
SRR29856964	5	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856965	16	T9	Cattle	Content of rumen	South Korea	Bos taurus coreanae	male
SRR29856966	16	T9	Cattle	Content of large intestine	South Korea	Bos taurus coreanae	male
SRR29856967	15	T9	Cattle	Content of small intestine	South Korea	Bos taurus coreanae	male
SRR29856968	15	T9	Cattle	Content of rumen	South Korea	Bos taurus coreanae	male
SRR29856969	15	T9	Cattle	Content of large intestine	South Korea	Bos taurus coreanae	male
SRR29856970	14	T9	Cattle	Content of small intestine	South Korea	Bos taurus coreanae	male
SRR29856971	49	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856972	48	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856973	47	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856974	46	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856975	45	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856976	44	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856977	41	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856978	43	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856979	42	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856980	41	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856981	40	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856982	4	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856983	39	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856984	38	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856985	37	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856986	36	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856987	35	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856988	40	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856989	34	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856990	33	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856991	32	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856992	31	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856993	30	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856994	3	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856995	29	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856996	28	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856997	27	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29856998	26	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29856999	49	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857000	48	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857001	47	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857002	46	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857003	32	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857004	45	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857005	44	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857006	43	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857007	42	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857008	41	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857009	40	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857010	4	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857011	39	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857012	38	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857013	37	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857014	31	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857015	36	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857016	35	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857017	34	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857018	33	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857019	32	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857020	31	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857021	30	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857022	3	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857023	29	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857024	28	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857025	30	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857026	27	T5	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857027	49	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857028	48	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857029	23	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857030	47	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857031	46	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857032	45	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857033	44	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857034	43	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
